year,average_speed_kmh,Comm_speed_Paris,AgriLand_inc,HousingLand_inc,SpendingShare_Rural,SpendingShare_Urban,SpendingShare_Housing,employment,theta_rural,theta_urban,Employment_rural,Land_rural,P_rural_Sauvy,P_rural_Toutain,P_rural,stheta_rural,stheta_urban
1840,,1.0,3.425431,0.592507,,,,15444.4,1.0,1.0,0.601862192153931,0.669399976730347,1.038024,0.7398782,0.7889490181714568,1.0,1.0
1841,,1.0005448750000001,3.4163845,0.59110918,,,,15552.0,0.9997877397065312,1.0030305253321619,0.598958313465118,0.669172167778015,0.9179906,0.6672149,0.789323316984598,1.001141907972865,0.9980911420027844
1842,,1.0010897500000002,3.4073379999999998,0.58971136,,,,15670.0,0.9571318549035936,0.9770868598023912,0.594856441020966,0.668944776058197,0.9216083,0.6849605,0.7900774520596086,1.0063347695764584,0.9944043976344229
1843,,1.0016346250000003,3.3982914999999996,0.58831354,,,,15788.0,1.0170137333319444,0.9897277731344521,0.590815782546997,0.668717920780182,0.9348223,0.710153,0.7912179940801444,1.0162219463756024,0.9888079071398277
1844,,1.0021795000000004,3.3892449999999994,0.58691572,,,,15906.0,1.073708151770991,0.9824717201477733,0.586835145950317,0.66849160194397,0.8841155,0.6877599,0.7927430573953209,1.0299101912406954,0.9815563749597712
1845,,1.0027243750000006,3.380198499999999,0.5855179,,,,16024.0,0.9752719652194105,0.9647746365511839,0.582913100719452,0.668265700340271,0.8801895,0.6988286,0.7946455097097853,1.0463447223178868,0.9731475564501154
1846,,1.0032692500000007,3.371151999999999,0.58412008,,,,16142.0,0.9435991242340408,0.9501974613672463,0.579048454761505,0.668040335178375,0.8966175,0.7188616,0.7969105157085554,1.0642590247298873,0.9643404276931973
1847,,1.0038141250000008,3.362105499999999,0.58272226,,,,16246.2,1.1967176637112267,0.9794716394034348,0.574829816818237,0.667815446853638,0.9638087,0.7789994,0.7995161282593118,1.0808206107651743,0.9559664395173864
1848,,1.004359000000001,3.3530589999999987,0.58132444,,,,16350.4,1.1647124993446984,0.9008597426199204,0.570664942264557,0.667591035366058,0.9165142,0.7370452,0.8024498464826912,1.0929151921412688,0.9487791549558944
1849,,1.004903875000001,3.3440124999999985,0.5799266200000001,,,,16454.6,1.120264846602869,0.9255351158813646,0.566552817821503,0.667367160320282,0.7404515,0.5980143,0.8057040209185571,1.0986137539714937,0.9433328030548932
1850,,1.0054487500000011,3.334966,0.5785288,,,,16558.8,1.1207941329832631,0.9269787606154568,0.562492430210114,0.667143702507019,0.7060344,0.5717809,0.8092712319745701,1.0974386374975773,0.940004454400188
1851,,1.0059936250000012,3.2734466,0.5780995499999999,,,,16663.0,1.0871565406020747,0.9082689938871883,0.558482885360718,0.666920781135559,0.7214852,0.6005164,0.8131482243437794,1.0918169802592044,0.9389134612736401
1852,,1.0065385000000013,3.2119272000000003,0.5776702999999999,,,,16730.6,1.1504612919747415,0.9447686409877336,0.554325580596924,0.666698336601257,0.7638583,0.6502501,0.8173261172267255,1.0861322147813948,0.9396934660352256
1853,,1.0070833750000014,3.1504078000000004,0.5772410499999998,,,,16798.2,0.9503472155038172,0.9302825905655067,0.550201833248138,0.666476368904114,0.847614,0.7327048,0.8217813272856526,1.084391584710469,0.9412797286993214
1854,,1.0076282500000016,3.0888884000000005,0.5768117999999998,,,,16865.8,1.0730760841109732,0.942845824914915,0.546111047267914,0.666254878044128,0.8621106,0.7554566,0.8264831990912869,1.0902221483178005,0.942547108845702
1855,,1.0081731250000017,3.0273690000000006,0.5763825499999997,,,,16933.4,0.9925565846913625,0.9383187077394085,0.542052984237671,0.666033864021301,0.9104778,0.808146,0.8313920985803404,1.1039449208819931,0.9427747492195189
1856,3.61618,1.008718,2.9658496000000008,0.5759532999999997,,,,17001.0,1.0562583215213444,0.9434361851830678,0.538027167320251,0.665813326835632,0.8644155,0.7795952,0.8364609704007733,1.1234271759673198,0.9422128900430228
1857,3.63098785,1.0128486,2.904330200000001,0.5755240499999996,,,,17162.6,1.2276420949123508,0.9476950834498661,0.534615993499756,0.665593266487122,0.8923774,0.8164462,0.8416435461944979,1.147910644232048,0.9423220102770978
1858,3.6457957,1.0169792000000002,2.842810800000001,0.5750947999999996,,,,17324.2,1.3246639845962027,0.9428529309743179,0.531268417835236,0.665373682975769,0.8433371,0.7820736,0.8468973521502571,1.1762108011458279,0.9448184808349941
1859,3.66060355,1.0211098000000003,2.781291400000001,0.5746655499999995,,,,17485.8,1.1310343071177391,0.8767867123934583,0.527982711791992,0.66515451669693,0.8205886,0.774443,0.8521888116970402,1.2061580508062597,0.9511547987138116
1860,3.6754113999999998,1.0252404000000004,2.719772,0.5742363,,,,17647.4,1.251158832054065,0.924498049212526,0.524757206439972,0.664935886859894,0.8372525,0.803354,0.8574881355441373,1.2343280836640098,0.9622029958142915
1861,3.6902192499999997,1.0293710000000005,2.6928001,0.57146098,,,,17809.0,1.097482462272326,0.9393053353199629,0.521590232849121,0.664717733860016,0.8638806,0.8272946,0.8627635368413759,1.2573438576123954,0.9781919736888165
1862,3.7050270999999997,1.0335016000000006,2.6658282,0.56868566,,,,17909.6,1.3465583816686448,0.9824275511119008,0.518169045448303,0.664499998092651,0.8720495,0.835887,0.8679699174612522,1.2738031498771754,0.9992065407025913
1863,3.7198349499999996,1.0376322000000007,2.6388563,0.56591034,,,,18010.2,1.3760678544974294,1.03310887242373,0.514786064624786,0.664277255535126,0.8945415,0.8591204,0.8730475552656826,1.2852692775294765,1.0254315714893303
1864,3.7346427999999996,1.0417628000000008,2.6118844,0.5631350199999999,,,,18110.8,1.382295010882578,1.0630500447019906,0.511440694332123,0.664053916931152,0.8977128,0.8627823,0.8779429064969617,1.2944565471699445,1.0556261971726488
1865,3.7494506499999996,1.0458934000000009,2.5849125,0.5603596999999999,,,,18211.4,1.3106161072074078,1.045138107309435,0.50813227891922,0.663829982280731,0.8722092,0.8392499,0.8826144658771807,1.301972904862772,1.0866723488182952
1866,3.7642584999999995,1.050024000000001,2.5579406000000002,0.5575843799999999,,,,18312.0,1.2808991699936203,1.1060825290771918,0.50486022233963,0.663605451583862,0.9206284,0.9037566,0.887024583442824,1.3071561354175287,1.1159020031699323
1867,3.7790663499999995,1.054154600000001,2.5309687000000003,0.5548090599999999,,,,18153.8333333334,1.1307916176119652,1.1078227472903432,0.504126787185669,0.663380324840546,0.9147159,0.9115146,0.8911277077616967,1.3099403213073084,1.1419752964951102
